	Original ID	Gene Name in CARD	ARO Replacement
106	gi|685904080|ref|WP_031644138.1|	gi|685904080|ref|WP_031644138.1|	gi|685904080|ref|WP_031644138.1|
107	gi|32345874|gb|AAM97231.1|	gi|32345874|gb|AAM97231.1|	gi|32345874|gb|AAM97231.1|
108	gi|759433858|ref|WP_043156446.1|	gi|759433858|ref|WP_043156446.1|	gi|759433858|ref|WP_043156446.1|
109	ABJ55333	ABJ55333	ABJ55333
110	gi|730397869|ref|WP_034006484.1|	gi|730397869|ref|WP_034006484.1|	gi|730397869|ref|WP_034006484.1|
111	AAP46622	AAP46622	AAP46622
112	gi|685980171|ref|WP_031687995.1|	gi|685980171|ref|WP_031687995.1|	gi|685980171|ref|WP_031687995.1|
113	gi|730242297|ref|WP_033946265.1|	gi|730242297|ref|WP_033946265.1|	gi|730242297|ref|WP_033946265.1|
114	P14677	P14677	P14677
115	EDK70037	EDK70037	EDK70037
116	gi|896408119|ref|WP_049345021.1|	gi|896408119|ref|WP_049345021.1|	gi|896408119|ref|WP_049345021.1|
117	NC_010558.1.6275977.p01	NC_010558.1.6275977.p01	NC_010558.1.6275977.p01
118	AF326777.3.gene22.p01	AF326777.3.gene22.p01	AF326777.3.gene22.p01
119	AAP46606	AAP46606	AAP46606
120	gi|490474978|ref|WP_004345400.1|	gi|490474978|ref|WP_004345400.1|	gi|490474978|ref|WP_004345400.1|
121	gi|32345894|gb|AAM97241.1|	gi|32345894|gb|AAM97241.1|	gi|32345894|gb|AAM97241.1|
122	P0A0U8	P0A0U8	P0A0U8
123	gi|927320959|ref|WP_053813481.1|	gi|927320959|ref|WP_053813481.1|	gi|927320959|ref|WP_053813481.1|
124	AAM97249	AAM97249	AAM97249
125	gi|959846504|ref|WP_058132686.1|	gi|959846504|ref|WP_058132686.1|	gi|959846504|ref|WP_058132686.1|
126	gi|970550885|ref|WP_058814714.1|	gi|970550885|ref|WP_058814714.1|	gi|970550885|ref|WP_058814714.1|
127	gi|446993873|ref|WP_001071129.1|	gi|446993873|ref|WP_001071129.1|	gi|446993873|ref|WP_001071129.1|
128	gi|817673615|ref|WP_046638754.1|	gi|817673615|ref|WP_046638754.1|	gi|817673615|ref|WP_046638754.1|
129	CAO91622	CAO91622	CAO91622
130	gi|1031778566|ref|WP_064126137.1|	gi|1031778566|ref|WP_064126137.1|	gi|1031778566|ref|WP_064126137.1|
131	gi|32345898|gb|AAM97243.1|	gi|32345898|gb|AAM97243.1|	gi|32345898|gb|AAM97243.1|
132	gi|32345766|gb|AAM97177.1|	gi|32345766|gb|AAM97177.1|	gi|32345766|gb|AAM97177.1|
133	P57296	P57296	P57296
134	BAB86942	BAB86942	BAB86942
135	AF101781.1.gene1.p01	AF101781.1.gene1.p01	AF101781.1.gene1.p01
136	AAC22099	AAC22099	AAC22099
137	gi|959864218|ref|WP_058143399.1|	gi|959864218|ref|WP_058143399.1|	gi|959864218|ref|WP_058143399.1|
138	AAP46600	AAP46600	AAP46600
139	YP_002735431	YP_002735431	YP_002735431
140	gi|32345888|gb|AAM97238.1|	gi|32345888|gb|AAM97238.1|	gi|32345888|gb|AAM97238.1|
141	ZP_04597435	ZP_04597435	ZP_04597435
142	CAO91630	CAO91630	CAO91630
143	gi|763407621|ref|WP_044264215.1|	gi|763407621|ref|WP_044264215.1|	gi|763407621|ref|WP_044264215.1|
144	gi|757444661|ref|WP_042741303.1|	gi|757444661|ref|WP_042741303.1|	gi|757444661|ref|WP_042741303.1|
145	AAP46619	AAP46619	AAP46619
146	gi|754803992|ref|WP_042167105.1|	gi|754803992|ref|WP_042167105.1|	gi|754803992|ref|WP_042167105.1|
147	AAP46597	AAP46597	AAP46597
148	AAP46588	AAP46588	AAP46588
149	gi|32345906|gb|AAM97247.1|	gi|32345906|gb|AAM97247.1|	gi|32345906|gb|AAM97247.1|
150	gi|730454835|ref|WP_034018922.1|	gi|730454835|ref|WP_034018922.1|	gi|730454835|ref|WP_034018922.1|
151	gi|959873071|ref|WP_058149474.1|	gi|959873071|ref|WP_058149474.1|	gi|959873071|ref|WP_058149474.1|
152	gi|447201629|ref|WP_001278885.1|	gi|447201629|ref|WP_001278885.1|	gi|447201629|ref|WP_001278885.1|
153	AAP46611	AAP46611	AAP46611
154	gi|32345902|gb|AAM97245.1|	gi|32345902|gb|AAM97245.1|	gi|32345902|gb|AAM97245.1|
155	gi|32345862|gb|AAM97225.1|	gi|32345862|gb|AAM97225.1|	gi|32345862|gb|AAM97225.1|
156	gi|553797237|ref|WP_023127796.1|	gi|553797237|ref|WP_023127796.1|	gi|553797237|ref|WP_023127796.1|
157	gi|488189171|ref|WP_002260379.1|	gi|488189171|ref|WP_002260379.1|	gi|488189171|ref|WP_002260379.1|
158	CAD70592	CAD70592	CAD70592
159	gi|692974498|ref|WP_032166642.1|	gi|692974498|ref|WP_032166642.1|	gi|692974498|ref|WP_032166642.1|
160	AM180355.1.gene2260.p01	AM180355.1.gene2260.p01	AM180355.1.gene2260.p01
161	gi|565828994|ref|WP_023912825.1|	gi|565828994|ref|WP_023912825.1|	gi|565828994|ref|WP_023912825.1|
162	gi|959926073|ref|WP_058185040.1|	gi|959926073|ref|WP_058185040.1|	gi|959926073|ref|WP_058185040.1|
163	AAP46602	AAP46602	AAP46602
164	AAC45547	AAC45547	AAC45547
165	AAP46604	AAP46604	AAP46604
166	gi|489831097|ref|WP_003734834.1|	gi|489831097|ref|WP_003734834.1|	gi|489831097|ref|WP_003734834.1|
167	YP_002467958	YP_002467958	YP_002467958
168	AAP46577	AAP46577	AAP46577
169	CAO91616	CAO91616	CAO91616
170	gi|553772467|ref|WP_023104399.1|	gi|553772467|ref|WP_023104399.1|	gi|553772467|ref|WP_023104399.1|
171	gi|501976562|ref|WP_012681429.1|	gi|501976562|ref|WP_012681429.1|	gi|501976562|ref|WP_012681429.1|
172	gi|730685230|ref|WP_034070483.1|	gi|730685230|ref|WP_034070483.1|	gi|730685230|ref|WP_034070483.1|
173	YP_002741884	YP_002741884	YP_002741884
174	AF326777.3.gene21.p01	AF326777.3.gene21.p01	AF326777.3.gene21.p01
175	AAP46613	AAP46613	AAP46613
176	YP_248152	YP_248152	YP_248152
177	U58210.1.gene4.p01	U58210.1.gene4.p01	U58210.1.gene4.p01
178	ZP_00155442	ZP_00155442	ZP_00155442
179	YP_002792444	YP_002792444	YP_002792444
180	CAO91620	CAO91620	CAO91620
181	gi|32345868|gb|AAM97228.1|	gi|32345868|gb|AAM97228.1|	gi|32345868|gb|AAM97228.1|
